TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T010760_2.00	F024_2.00	TS12_2.00	.	.	ENSCING00000003282	ENSCING00000003282	Ciona_intestinalis	N	AP-2	TF_AP-2	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010761_2.00	F024_2.00	TS12_2.00	M02762_2.00	MS33_2.00	ENSCING00000003722	ENSCING00000003722	Ciona_intestinalis	I	AP-2	TF_AP-2	1	0.7	TFAP2A_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010762_2.00	F024_2.00	TS12_2.00	.	.	ENSCING00000012598	ap-2-like1	Ciona_intestinalis	N	AP-2	TF_AP-2	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014467_2.00	F028_2.00	TS12_2.00	.	.	ENSCING00000001119	ENSCING00000001119	Ciona_intestinalis	N	ARID/BRIGHT	ARID	1	0.42223096627141105	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014468_2.00	F028_2.00	TS12_2.00	.	.	ENSCING00000009489	ENSCING00000009489	Ciona_intestinalis	N	ARID/BRIGHT	ARID	1	0.42223096627141105	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014469_2.00	F028_2.00	TS12_2.00	.	.	ENSCING00000011332	ENSCING00000011332	Ciona_intestinalis	N	ARID/BRIGHT	ARID	1	0.42223096627141105	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014470_2.00	F028_2.00	TS12_2.00	M01657_2.00	MS64_2.00	ENSCING00000013307	ENSCING00000013307	Ciona_intestinalis	I	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH5120	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014471_2.00	F028_2.00	TS12_2.00	M00115_2.00	MS02_2.00	ENSCING00000020478	ci-dril1/2	Ciona_intestinalis	I	ARID/BRIGHT	ARID	1	0.42223096627141105	Arid3a_3875	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014472_2.00	F028_2.00	TS12_2.00	.	.	ENSCING00000020769	ENSCING00000020769	Ciona_intestinalis	N	ARID/BRIGHT	ARID	1	0.42223096627141105	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017372_2.00	F039_2.00	TS12_2.00	M01672_2.00	MS64_2.00	ENSCING00000020577	ENSCING00000020577	Ciona_intestinalis	I	AT hook	AT_hook	1	0.989594959467439	pTH8202	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T024495_2.00	F056_2.00	TS12_2.00	.	.	ENSCING00000003236	ENSCING00000003236	Ciona_intestinalis	N	B3,Myb/SANT	B3,Myb_DNA-binding	2	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025915_2.00	F077_2.00	TS12_2.00	.	.	ENSCING00000001223	ENSCING00000001223	Ciona_intestinalis	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025916_2.00	F077_2.00	TS12_2.00	.	.	ENSCING00000005847	ENSCING00000005847	Ciona_intestinalis	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025917_2.00	F077_2.00	TS12_2.00	.	.	ENSCING00000007403	ENSCING00000007403	Ciona_intestinalis	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025918_2.00	F077_2.00	TS12_2.00	.	.	ENSCING00000014091	ENSCING00000014091	Ciona_intestinalis	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025919_2.00	F077_2.00	TS12_2.00	.	.	ENSCING00000018662	ENSCING00000018662	Ciona_intestinalis	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025920_2.00	F077_2.00	TS12_2.00	.	.	ENSCING00000019277	ENSCING00000019277	Ciona_intestinalis	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033255_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000000045	paraxis-like	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033256_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000001010	trh	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033257_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000003789	ENSCING00000003789	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033258_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000003929	e(spl)/hairy-c	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033259_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000004039	neurogenin	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033260_2.00	F082_2.00	TS12_2.00	M02773_2.00	MS33_2.00	ENSCING00000004702	ENSCING00000004702	Ciona_intestinalis	I	bHLH	HLH	1	0.837833807768996	TFE3_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
