Motif_ID	DBID.1	GeneID	GeneName	Family_Name	Motif_Type
1	M5134_1.02	Opa_SANGER_5_FBgn0003002	KH2013:KH.S816.2	KH2013:KH.S816.2_ZIC1/3/4/5/6	C2H2 ZF	B1H
2	M5133_1.02	opa_NAR_FBgn0003002	KH2013:KH.S816.2	KH2013:KH.S816.2_ZIC1/3/4/5/6	C2H2 ZF	B1H
4	M2259_1.02	MA0456.1	KH2013:KH.S816.2	KH2013:KH.S816.2_ZIC1/3/4/5/6	C2H2 ZF	B1H
5	M5133_1.02	opa_NAR_FBgn0003002	KH2013:KH.S816.1	KH2013:KH.S816.1_ZIC1/3/4/5/6	C2H2 ZF	B1H
6	M5134_1.02	Opa_SANGER_5_FBgn0003002	KH2013:KH.S816.1	KH2013:KH.S816.1_ZIC1/3/4/5/6	C2H2 ZF	B1H
7	M2259_1.02	MA0456.1	KH2013:KH.S816.1	KH2013:KH.S816.1_ZIC1/3/4/5/6	C2H2 ZF	B1H
12	M04911_2.00	ISL1_FL_Methyl-HT-SELEX	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
13	M04908_2.00	ISL1_eDBD_HT-SELEX	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
14	M03177_2.00	ISL2_1	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
15	M05204_2.00	ISL2_eDBD_HT-SELEX	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
16	M03878_2.00	CG5369_3	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
17	M05368_2.00	SHOX_eDBD_Methyl-HT-SELEX_2	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
18	M03877_2.00	CG5369_2	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
19	M03267_2.00	Vsx1_1	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
20	M5583_1.02	ISL2_1	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
21	M03263_2.00	Shox2_1	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
22	M04910_2.00	ISL1_FL_HT-SELEX	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
23	M02152_2.00	pTH5477	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
24	M03876_2.00	CG5369_1	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
25	M04909_2.00	ISL1_eDBD_Methyl-HT-SELEX	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
26	M02179_2.00	pTH6562	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
27	M06270_2.00	Tup_Cell_FBgn0003896	KH2013:KH.L152.2	ISL1/2	Homeodomain	B1H
28	M5254_1.02	Tup_SOLEXA_FBgn0003896	KH2013:KH.L152.2	ISL1/2	Homeodomain	B1H
29	M3488_1.02	V$ISL2_04	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
30	M03204_2.00	SHOX2_1	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
31	M3487_1.02	V$ISL2_03	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
32	M05205_2.00	ISL2_eDBD_Methyl-HT-SELEX	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
33	M02095_2.00	pTH5805	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
34	M05390_2.00	NOTO_eDBD_HT-SELEX	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
35	M03232_2.00	SHOX_1	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
36	M10634_2.00	V$ISL1_Q3	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
37	M3486_1.02	V$ISL2_02	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
38	M02101_2.00	pTH6268	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
39	M06272_2.00	Tup_SOLEXA_FBgn0003896	KH2013:KH.L152.2	ISL1/2	Homeodomain	B1H
40	M6315_1.02	ISL1_f1	KH2013:KH.L152.2	ISL1/2	Homeodomain	HocoMoco
41	M05391_2.00	NOTO_eDBD_Methyl-HT-SELEX	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
42	M10635_2.00	V$ISL1_Q6	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
43	M03241_2.00	NOTO_1	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
44	M05367_2.00	SHOX_eDBD_Methyl-HT-SELEX_1	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
45	M3484_1.02	V$ISL1_Q3	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
46	M5252_1.02	Tup_Cell_FBgn0003896	KH2013:KH.L152.2	ISL1/2	Homeodomain	B1H
47	M06271_2.00	tup_SOLEXA_10_FBgn0003896	KH2013:KH.L152.2	ISL1/2	Homeodomain	B1H
48	M00439_2.00	Shox2_2641	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
49	M10800_2.00	V$ISL2_04	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
50	M0991_1.02	Isl2_3430	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
51	M10799_2.00	V$ISL2_03	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
52	M02097_2.00	pTH6379	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
53	M05366_2.00	SHOX_eDBD_HT-SELEX	KH2013:KH.L152.2	ISL1/2	Homeodomain	SELEX
54	M5253_1.02	tup_SOLEXA_10_FBgn0003896	KH2013:KH.L152.2	ISL1/2	Homeodomain	B1H
55	M06498_2.00	MA0248.1	KH2013:KH.L152.2	ISL1/2	Homeodomain	B1H
56	M09128_2.00	ISL1_HUMAN.H11MO.0.A	KH2013:KH.L152.2	ISL1/2	Homeodomain	Misc
57	M01242_2.00	pTH11489	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
58	M09578_2.00	Neuron-Isl1_GSE31456	KH2013:KH.L152.2	ISL1/2	Homeodomain	Misc
59	M2055_1.02	MA0248.1	KH2013:KH.L152.2	ISL1/2	Homeodomain	B1H
60	M10772_2.00	V$SHOX2_05	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
61	M10801_2.00	V$ISL2_05	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
62	M00458_2.00	Isl2_3430	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
63	M3489_1.02	V$ISL2_05	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
64	M00269_2.00	VSX1_REF	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
65	M3485_1.02	V$ISL1_Q6	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
66	M00266_2.00	VSX1_G160D	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
67	M00459_2.00	Vsx1_1728	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
68	M00278_2.00	PHOX2B_Q143R	KH2013:KH.L152.2	ISL1/2	Homeodomain	PBM
69	M10798_2.00	V$ISL2_02	KH2013:KH.L152.2	ISL1/2	Homeodomain	Transfac
70	M09209_2.00	ISL1_MOUSE.H11MO.0.A	KH2013:KH.L152.2	ISL1/2	Homeodomain	Misc
71	M02486_2.00	pTH7575	KH2013:KH.C3.152	SSRP/1	Sox	PBM
72	M00889_2.00	YAB5	KH2013:KH.C3.152	SSRP/1	Sox	PBM
74	M00890_2.00	YAB1	KH2013:KH.C3.152	SSRP/1	Sox	PBM
80	M10935_2.00	V$MEF2_01	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
81	M4466_1.02	GM12878_MEF2A_HudsonAlpha	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
82	M10936_2.00	V$MEF2_02	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
83	M10934_2.00	V$HMEF2_Q6	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
