"GeneID"	"ID"	"Family_Name"	"GeneName"	"KYID"
"KH2013:KH.C1.1296"	"p53"	"p53"	"PPP1R13B"	"KY2019:KY.Chr1.2432"
"KH2013:KH.C1.14"	"ARF2"	"ARF"	"ARF2/6"	"KY2019:KY.Chr1.1031"
"KH2013:KH.C1.196"	"ETV1"	"ETS"	"ETV1/4/5"	"KY2019:KY.Chr1.1124"
"KH2013:KH.C1.224"	"Tbx20"	"T-box"	"TBX20"	"KY2019:KY.Chr1.1392"
"KH2013:KH.C1.23"	"GRHL2"	"CP2"	"GRHL1/2/3"	"KY2019:KY.Chr1.2149"
"KH2013:KH.C1.26"	"Atf1"	"bZIP"	"ATF1"	"KY2019:KY.Chr1.2051"
"KH2013:KH.C1.488"	"ZNF143.STAF"	"Zf"	"ZNF143"	"KY2019:KY.Chr1.1406"
"KH2013:KH.C1.549"	"YY1"	"Zf"	"YY1/2"	"KY2019:KY.Chr3.1614"
"KH2013:KH.C1.725"	"NF.E2"	"bZIP"	"NFE2L1/2/3"	"KY2019:KY.Chr1.1136"
"KH2013:KH.C1.727"	"Zic3"	"Zf"	"ZIC1/2/3"	"KY2019:KY.Chr1.1698"
"KH2013:KH.C1.777"	"ZEB1"	"Zf"	"ZEB1/2"	"KY2019:KY.Chr1.2461"
"KH2013:KH.C1.87"	"PR"	"NR"	"PPP2R4"	"KY2019:KY.Chr1.782"
"KH2013:KH.C1.983"	"KLF10"	"Zf"	"KLF10/11/2/4"	"KY2019:KY.Chr1.536"
"KH2013:KH.C1.983"	"Klf4"	"Zf"	"KLF10/11/2/4"	"KY2019:KY.Chr1.536"
"KH2013:KH.C1.99"	"OCT4.SOX2.TCF.NANOG"	"POU,Homeobox,HMG"	"SOX1/2/3"	"KY2019:KY.Chr1.559"
"KH2013:KH.C1.99"	"Sox2"	"HMG"	"SOX1/2/3"	"KY2019:KY.Chr1.559"
"KH2013:KH.C1.99"	"Sox3"	"HMG"	"SOX1/2/3"	"KY2019:KY.Chr1.559"
"KH2013:KH.C10.106"	"MITF"	"bHLH"	"KH2013:KH.C10.106"	"KY2019:KY.Chr10.837"
"KH2013:KH.C10.22"	"SF1"	"NR"	"SF1"	"KY2019:KY.Chr10.806"
"KH2013:KH.C10.250"	"RBFox2"	NA	"RBFOX1/2/3"	"KY2019:KY.Chr10.961"
"KH2013:KH.C10.305"	"TATA.Box"	"TBP"	"TBP"	"KY2019:KY.Chr10.178"
"KH2013:KH.C10.305"	"TATA.box"	"promoter"	"TBP"	"KY2019:KY.Chr10.178"
"KH2013:KH.C10.42"	"AP.1"	"bZIP"	"AP1S1/2"	"KY2019:KY.Chr10.914"
"KH2013:KH.C10.463"	"CRE"	"bZIP"	"CREB3L3"	"KY2019:KY.Chr10.829"
"KH2013:KH.C10.463"	"c.Jun.CRE"	"bZIP"	"CREB3L3"	"KY2019:KY.Chr10.829"
"KH2013:KH.C10.80"	"VDR"	"NR"	"KH2013:KH.C10.80_VDR"	"KY2019:KY.Chr10.739"
